25909_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25910_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25911_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25912_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25913_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25914_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25915_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25916_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25917_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25918_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25919_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25920_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30000_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30010_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30020_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30030_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30040_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30050_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30060_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30070_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30080_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30090_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30100_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30110_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30120_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30130_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30140_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
30150_0|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 67387, 138396, 118660 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
30160_0|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 94583, 80062, 149798 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
30170_0|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || cat N: 321601, 1358, 1479 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
